group_name,folder_name,folder_value
everyonegetsfanart,Fanart for Fandoms,26064323
group-of-fanart,Digital FanArt 29,55486108
fanart-lover,OCs Fanart,35568320
artaroundthegalaxy,Game Fanart,58326354
art-of-all-kinds,Drawing,31669332
all-media-art,Digital Art,55784446
allartunited,F A N A R T --- TV and Kino,56508669
everything-isart,ASK,-2
fan-art-world,Fan Characters or OCs,54734965
any-art-is-welcomed,Digital Works,45238302
loveforyoungartists,Fanart,32445009
helpingart,Featured,55955799
justanartgroup,Featured,39225946
your-art-here,Fanart,55444871
allstuffandstuff,Fan Art 19,62428913
all-art-wanted,Fan Art 4 Open,62213564
all-art-4-ever,Fanart 14,61622324
all-for-art,Digital 3,61272054
drawingartists,Digital Art,35169994
callingallartists,Fan Art,41140161
love-for-all-art,Digital Art,42532210
we-want-your-art,Submit Here Closed,51529043
allartandstuff,Digital Art 9,61862829
weareinlovewithart,Fan Art,47342878
love-for-all-art,Digital Art,42532210
welcome-all-artists,Fan Related Artwork 2,55446781
outstanding-artwork,digital other,42791898
everything-central,Fan Art,45942096
acceptallart,ASK,-2
deviantsgallery,Digital Art Submissions,61826349
every-type-of-art,Anime manga 2,49056081
talented-hand,Manga and Anime,33363138
everyart,Drawings 5,54453208
everyartisagoodone,Fan Art,28522876
allartiswelcomed,Fan art or anything,58396896
arteverything,Digital Art 8,62404921
disgruntledartists,Digital Art 2,38373413
any-art-welcomed,Anime Manga,26236427
computerart,Featured,27374719
graphictablets,Anime Manga,27834810
dreamyourart,Fan Art,54127351
duelartist,Digital Art,36494459
every-art-accepted,Digital,34286027
creation-inspiration,ASK,-2
all-types,Fan Art,28022173
newart-world,"Digital, Drawings, paintings,etc",36101038
drawcreateinspire,FanArt,31977970
allthingsart,Digital Art,56905963
bornforart,ANIME AND MANGA digital and traditional draw,26142675
my-unique-art,Fan Art 2,39502380
beautiful-creation,Fan art,36303293
drawing-maniacs,Fan Art II,40478999
artexposure,Digital Painting illustration,33746422
allartistsunited,UNUSED,-1
digital-art-club,Fan Art 9.0,59538256
artartists,Fan Art,24561213
digitallycreated,Digital Paintings 3,58230513
paintingsofthemind,Featured,42966839
cleanfurries,Feral,29206691
theanthroexchange,Fanart,39871677
anthrosketchbook,Featured,37622152
furryaffinity,Photographs,45899417
finefurry,Other,29149254
anthrosunited,Featured,45296562
furriesxbronies,Featured,50432808
anthrouniversemax,Feral Form,52919343
we-are-fursonas,Fanart,45827978
myfursonality,Canine,33173188
skilled-anthros,Fandom Fanart,56558577
the-anthro-city,Fandom,47212100
anthrosanddragons,Digital Anthros,39745597
the-undertale-club,UNUSED,-1
undertale-for-life,UNUSED,-1
undertale-fanz,UNUSED,-1
toriel-fanclub,UNUSED,-1
asriel-x-chara,UNUSED,-1
omegaundertalegroup,UNUSED,-1
the-trash-can,UNUSED,-1
undertalerp,UNUSED,-1
asriel-dreemurr-fans,UNUSED,-1
asriel-x-frisk-club,UNUSED,-1
asriel-fans,UNUSED,-1
royal-fluffybuns,UNUSED,-1
zipperhuskyart,UNUSED,-1
pokemonfansgroup,Pokemon - Single Generation,48030783
bulbagardenfanclub,Fanart,24662244
pokemon-artist-club,UNUSED,-1
fakemon-fuzemon,Pokemon,28659204
poketto-monsuta,Digital Artwork,32932493
traditionalpokemon,UNUSED,-1
sonic-pokemon-fc,Pokemon 3,57243472
oc-animals,Featured,27868565
pokemon-fakemon,Featured,24231939
rayquaza-fan-club,Miscellaneous,24930780
pokemoncuties,Featured,37346720
pokemonfusionart,Normal,43885032
thepokemonrealm,Gen 1-Kanto,54952869
pkmnandfakemon,Pokemon,29019970
pokecodes,Kanto: 001-151,25123584
pokemonstarterclub,Eevee,35391571
p-o-k-e-m-o-n,Generation I,33943223
poke-masters,Digital Art,25001052
extremepokemon,Fan Art,24831624
pokemon-addicts,Kanto Pokemon,24115696
p-o-k-e-m-o-n-club,Digital 2,33088660
pokemonunity,ocs,51413247
five-star-pokemon,Pokemon OCs,35596276
riolus-united,Random Pokemon related stuff,36487064
pokemonhq,Gen 1,32010053
pokemonfansforever,1st Gen. - Kanto,25583344
sonic-pokemon,Pokemon,26004744
dogandcatpokemonclub,Featured,25563010
pokemons-fun,Featured,24950678
pokenines,UNUSED,-1
undertaleartists,UNUSED,-1
undertale-aus,UNUSED,-1
undertale-kingdom,UNUSED,-1
wearesansfans,UNUSED,-1
undertrash-fans,UNUSED,-1
theundertalefanclub,UNUSED,-1
undertale-game,UNUSED,-1
under-memes,UNUSED,-1
undertale-game,UNUSED,-1
under-memes,UNUSED,-1
unlimitedundertale,UNUSED,-1
mtt-news,UNUSED,-1
unertale-fan,UNUSED,-1
stay-determined,UNUSED,-1
cactus-paws,UNUSED,-1
undertalefansarise,UNUSED,-1
sansxfrisk,UNUSED,-1
sans-and-papyrus,UNUSED,-1
skele-babes,UNUSED,-1
undertalegroup,UNUSED,-1
undertaleroleplay,UNUSED,-1
golden-flowers,UNUSED,-1
grillster,UNUSED,-1
underswap-fan-group,UNUSED,-1
undertale-central,UNUSED,-1
fansofundertale,UNUSED,-1
vertebaes,UNUSED,-1
the-game-undertale,UNUSED,-1
undertale-galore,UNUSED,-1
undertale-iz-us,UNUSED,-1
undertale-librarby2,UNUSED,-1
undertaleinteractive,UNUSED,-1
undertale-fanclub,UNUSED,-1
the-barrier,UNUSED,-1
undertale-for-all,UNUSED,-1
undertale-group,UNUSED,-1
undertale-fans,UNUSED,-1
undertaleunited,UNUSED,-1
undertalefandom,UNUSED,-1
wd-gaster,UNUSED,-1
undertaletrashgroup,UNUSED,-1
undertalefans,UNUSED,-1
fans-of-undertale,UNUSED,-1
undertale-fc,UNUSED,-1
fan-art-of-undertale,UNUSED,-1
undertale-club,UNUSED,-1
club-undertale,UNUSED,-1
undertalefanartgroup,UNUSED,-1
anthro-hotel,Pokemon,31639390
anthropomorphicfans,ASK,-2
furries-furever,Canines,52788950
deviantanthro,Clean Feral,55214026
anthrosforever,Digital,45640513
unnoticed-anthro-art,Featured 7,61110790
furry-domination,UNUSED,-1
anthro-nexus,Art Collection 3,51667447
anthro-mainia,Featured 2,43195841
puranthro,Other,60393636
furclub,Digital 6,57358256
anthro-mania,Ocs and Fursonas 2,57893099
furry--fury,Fanart,51707095
beauty-of-fur,-Fanart-,26405983
long-live-the-furry,Fan art,50822184
furries-and-anthros,Feral,47447618
colorfurr,Featured,26666533
furryformation,Other Anthro,55715953
anthromedia,Featured,46894737
world-of-anthros,Featured,44702436
anthronation,Featured,42597895
fur-and-fire,Quadrupped,49029981
furry-anthro-lover,Featured,33187103
friendlyfurs,Digital,30847115
anthro-world,UNUSED,-1
anthrocreations,Fan Art,34801691
furryclan,Featured,49624076
anthrosunite,Fan Art,37375490
friends-of-furriness,Digital Work,30124770
furry-art,Canine,41664677
all-anthro-lovers,"Pokemon, Digimon, etc.",32145046
furry-pride,2017 Submissions,61970111
furs-furever,Pokemon,51921600
anthrolife,Anthro Fanart,51652880
ferals-and-anthros,Fan Art,51092063
always-anthro-art,Submit here...,44112393
dem-anthros,Fanart,56100619
everythingfurred,Fan Art,55317098
furriesareawsome,Canine,55299085
anthro-alliance,Canines,24641594
anthro-glamour,Athros 2 - Males,29113073
alternativeanthro,Fan Art,45189723
everythinganthro,Submit Here,62387612
all-things-anthro,Featured,42524586
anything-anthro,Fan Art,36563690
anthro-art-worldwide,North America,37765196
anthroarts21,Others,39800401
anthroparadise,fanart,48031003
anthroevilscientists,Featured,41095195
anthrohub,Canines,41683346
alltheanthroart,Clean Anthro Fanart,48557692
feral-anthro-zealots,Feral,41802584
allanthroclub,Featured,51007596
anthroforeveryone,Fan Art Digital,49979132
alt-anthro,Feral Digital,53908831
art-wolves-furries,Digital,29160578
