group_name,folder_name,folder_value
fanartclassroom,UNUSED,-1
the-world-of-fan-art,UNUSED,-1
fan-art-lovers-101,UNUSED,-1
fans4ever,UNUSED,-1
nintendo-fc,UNUSED,-1
allart-r-us,UNUSED,-1
fanartsociety,UNUSED,-1
randomarttogether,UNUSED,-1
animemanga-fanart,UNUSED,-1
fanart-forever,UNUSED,-1
fanart-united,UNUSED,-1
adopts-n-fanart,UNUSED,-1
fanart-are-art-too,UNUSED,-1
fanart-fc,UNUSED,-1
fanart-base,UNUSED,-1
fanart-nation,UNUSED,-1
national-fanart,UNUSED,-1
everyonegetsfanart,UNUSED,-1
group-of-fanart,UNUSED,-1
fanart-lover,UNUSED,-1
artaroundthegalaxy,OC,58337599
art-of-all-kinds,Drawing,31669332
all-media-art,Digital Art,55784446
allartunited,A N T H R O,56460128
everything-isart,ASK,-2
fan-art-world,UNUSED,-1
any-art-is-welcomed,Digital Works,45238302
loveforyoungartists,Digital,32445646
helpingart,Digital Art,55956194
justanartgroup,Digital Art,39226445
your-art-here,OC's,62415305
allstuffandstuff,Digital 28,62164468
all-art-wanted,Digital Art 3 OPEN,61439318
all-art-4-ever,Anthro II,56749947
all-for-art,Digital 3,61272054
drawingartists,Digital Art,35169994
callingallartists,Digital Art,41140093
love-for-all-art,Digital Art,42532210
we-want-your-art,Digital Art 14,58201423
allartandstuff,Digital Art 9,61862829
weareinlovewithart,Digital Art,47342763
love-for-all-art,Digital Art,42532210
welcome-all-artists,Character OC's,59597817
outstanding-artwork,digital other,42791898
everything-central,Digital Art,44074233
acceptallart,ASK,-2
deviantsgallery,Digital Art Submissions,61826349
every-type-of-art,OC 2,46385307
talented-hand,Miscellaneous,34373735
everyart,Digital Art 6,54453198
everyartisagoodone,Anthro,28521282
allartiswelcomed,Digital art 4,58376661
arteverything,Digital Art 8,62404921
disgruntledartists,Digital Art 2,38373413
any-art-welcomed,Own Characters,26236423
computerart,Featured,27374719
graphictablets,Featured,27218317
dreamyourart,Furry,54127324
duelartist,Digital Art,36494459
every-art-accepted,Digital,34286027
all-types,Digital,26443756
newart-world,"Digital, Drawings, paintings,etc",36101038
drawcreateinspire,Digital Art,31946337
allthingsart,Digital Art,56905963
bornforart,DIGITAL DRAWINGS and illustrations,26142682
my-unique-art,Digital 3,41882082
beautiful-creation,Digital,36189868
drawing-maniacs,Original Characters,24112847
artexposure,Digital Painting illustration,33746422
allartistsunited,Featured,25222326
digital-art-club,Digital Paintings and Drawings 22,60851343
artartists,OC Zone,24561235
digitallycreated,Digital Paintings 3,58230513
paintingsofthemind,Featured,42966839
cleanfurries,Anthro 2,52315751
theanthroexchange,Mammals,38556296
anthrosketchbook,Featured,37622152
furryaffinity,Featured,45891220
finefurry,Male colour,29149202
anthrosunited,Featured,45296562
furriesxbronies,Featured,50432808
anthrouniversemax,Male Anthro,52919337
we-are-fursonas,Male,41101624
myfursonality,Feline,33173184
skilled-anthros,Mammals,56558542
the-anthro-city,Felines,39940024
anthrosanddragons,Digital Anthros,39745597
the-undertale-club,UNUSED,-1
undertale-for-life,UNUSED,-1
undertale-fanz,UNUSED,-1
toriel-fanclub,UNUSED,-1
asriel-x-chara,UNUSED,-1
omegaundertalegroup,UNUSED,-1
the-trash-can,UNUSED,-1
undertalerp,UNUSED,-1
asriel-dreemurr-fans,UNUSED,-1
asriel-x-frisk-club,UNUSED,-1
asriel-fans,UNUSED,-1
royal-fluffybuns,UNUSED,-1
pokemonfansgroup,UNUSED,-1
bulbagardenfanclub,UNUSED,-1
pokemon-artist-club,UNUSED,-1
fakemon-fuzemon,UNUSED,-1
poketto-monsuta,UNUSED,-1
traditionalpokemon,UNUSED,-1
sonic-pokemon-fc,UNUSED,-1
oc-animals,UNUSED,-1
pokemon-fakemon,UNUSED,-1
rayquaza-fan-club,UNUSED,-1
pokemoncuties,UNUSED,-1
pokemonfusionart,UNUSED,-1
thepokemonrealm,UNUSED,-1
pkmnandfakemon,UNUSED,-1
pokecodes,UNUSED,-1
pokemonstarterclub,UNUSED,-1
p-o-k-e-m-o-n,UNUSED,-1
poke-masters,UNUSED,-1
extremepokemon,UNUSED,-1
pokemon-addicts,UNUSED,-1
p-o-k-e-m-o-n-club,UNUSED,-1
pokemonunity,UNUSED,-1
five-star-pokemon,UNUSED,-1
riolus-united,UNUSED,-1
pokemonhq,UNUSED,-1
pokemonfansforever,UNUSED,-1
sonic-pokemon,UNUSED,-1
dogandcatpokemonclub,UNUSED,-1
pokemons-fun,UNUSED,-1
pokenines,UNUSED,-1
undertalefanartgroup,UNUSED,-1
undertaleartists,UNUSED,-1
undertale-aus,UNUSED,-1
undertale-kingdom,UNUSED,-1
wearesansfans,UNUSED,-1
undertrash-fans,UNUSED,-1
theundertalefanclub,UNUSED,-1
undertale-game,UNUSED,-1
under-memes,UNUSED,-1
undertale-game,UNUSED,-1
under-memes,UNUSED,-1
unlimitedundertale,UNUSED,-1
mtt-news,UNUSED,-1
unertale-fan,UNUSED,-1
stay-determined,UNUSED,-1
cactus-paws,UNUSED,-1
undertalefansarise,UNUSED,-1
sansxfrisk,UNUSED,-1
sans-and-papyrus,UNUSED,-1
skele-babes,UNUSED,-1
undertalegroup,UNUSED,-1
undertaleroleplay,UNUSED,-1
golden-flowers,UNUSED,-1
grillster,UNUSED,-1
underswap-fan-group,UNUSED,-1
undertale-central,UNUSED,-1
fansofundertale,UNUSED,-1
vertebaes,UNUSED,-1
the-game-undertale,UNUSED,-1
undertale-galore,UNUSED,-1
undertale-iz-us,UNUSED,-1
undertale-librarby2,UNUSED,-1
undertaleinteractive,UNUSED,-1
undertale-fanclub,UNUSED,-1
the-barrier,UNUSED,-1
undertale-for-all,UNUSED,-1
undertale-group,UNUSED,-1
undertale-fans,UNUSED,-1
undertaleunited,UNUSED,-1
undertalefandom,UNUSED,-1
wd-gaster,UNUSED,-1
undertaletrashgroup,UNUSED,-1
undertalefans,UNUSED,-1
fans-of-undertale,UNUSED,-1
undertale-fc,UNUSED,-1
fan-art-of-undertale,UNUSED,-1
undertale-club,UNUSED,-1
club-undertale,UNUSED,-1
anthro-hotel,Feline,31639354
anthropomorphicfans,ASK,-2
furries-furever,Felines,52788953
deviantanthro,Clean Anthro,55214024
anthrosforever,Digital,45640513
unnoticed-anthro-art,Featured 7,61110790
furry-domination,clean artwork,38597952
anthro-nexus,Art Collection 3,51667447
anthro-mainia,cats,40999001
puranthro,Mammals,60393621
furclub,Digital 6,57358256
anthro-mania,Ocs and Fursonas 2,57893099
furry--fury,Digital,51707081
beauty-of-fur,Featured,24201015
long-live-the-furry,Male Anthros,50821408
furries-and-anthros,Anthro,47447623
colorfurr,Featured,26666533
furryformation,Male Anthro,55715951
anthromedia,Featured,46894737
world-of-anthros,Featured,44702436
anthronation,Featured,42597895
fur-and-fire,Anthro,51100370
furry-anthro-lover,Furrys,33224894
friendlyfurs,Digital,30847115
anthro-world,Male Characters,55935277
anthrocreations,Anthro,34723043
furryclan,Featured,49624076
anthrosunite,Feline,37361087
friends-of-furriness,Digital Work,30124770
furry-art,Anthro,41664868
all-anthro-lovers,Male Furry,32145036
furry-pride,ASK,-2
furs-furever,Digital art,36181611
anthrolife,Felidae,51497355
ferals-and-anthros,Feline,49910461
always-anthro-art,Submit here...,44112393
dem-anthros,OC,56100622
everythingfurred,Anthros,55317072
furriesareawsome,Felion,55299087
anthro-alliance,Felines,24661413
anthro-glamour,Athros 2 - Males,29113073
alternativeanthro,Feline,39297816
everythinganthro,Submit Here,62387612
all-things-anthro,Featured,42524586
anything-anthro,Other Anthros,47579530
anthro-art-worldwide,North America,37765196
anthroarts21,Cats,39800372
anthroparadise,OCs,48031000
anthroevilscientists,Featured,41095195
anthrohub,Felines,41683347
alltheanthroart,Clean Anthro Art,48557644
feral-anthro-zealots,Anthro,41802581
allanthroclub,Featured,51007596
anthroforeveryone,Male Anthro Digital,49937580
alt-anthro,Anthro Digital,53908833
art-wolves-furries,Digital,29160578
furry-central,Featured,24449309
the-furry-art-cave,Featured 2.0,55082823
furry--artists,Featured,32673578
furry-artists-unite,Anthro,56324244
furry-artits-ftw,Featured,35311504
zdragon-and-furry,mammals,57702692
clubanthro,Digital,38585249
anthro-freedom,digital,39763910
anthroluv,Featured,34656277
art-all-anthro,Feline,34378546
land-of-furries,Digital,48253314
all-the-furs,Digital Art,51326658
crazy-furries,Felines,45379890
the-anthro-den,Mammals 2,58958121
emotive-anthros,ASK,-2
anthro-attack,Digital 2,51014792
united-furry-club,CUTE FURRYS,25235560
anthroandanimals,anthro digital art,29537690
