group_name,folder_name,folder_value
five-star-pokemon,UNUSED,-1
riolus-united,UNUSED,-1
pokemonhq,UNUSED,-1
sonic-pokemon,UNUSED,-1
pokemonfansforever,UNUSED,-1
pokenines,UNUSED,-1
dogandcatpokemonclub,UNUSED,-1
pokemons-fun,UNUSED,-1
undertalefanartgroup,UNUSED,-1
undertaleartists,UNUSED,-1
undertale-aus,UNUSED,-1
undertale-kingdom,UNUSED,-1
wearesansfans,UNUSED,-1
undertrash-fans,UNUSED,-1
theundertalefanclub,UNUSED,-1
undertale-game,UNUSED,-1
under-memes,UNUSED,-1
undertale-sans-group,UNUSED,-1
undertalenews,UNUSED,-1
unlimitedundertale,UNUSED,-1
mtt-news,UNUSED,-1
unertale-fan,UNUSED,-1
stay-determined,UNUSED,-1
cactus-paws,UNUSED,-1
undertalefansarise,UNUSED,-1
sansxfrisk,UNUSED,-1
sans-and-papyrus,UNUSED,-1
skele-babes,UNUSED,-1
undertalegroup,UNUSED,-1
undertaleroleplay,UNUSED,-1
golden-flowers,UNUSED,-1
grillster,UNUSED,-1
underswap-fan-group,UNUSED,-1
undertale-central,UNUSED,-1
fansofundertale,UNUSED,-1
vertebaes,UNUSED,-1
the-game-undertale,UNUSED,-1
undertale-galore,UNUSED,-1
undertale-iz-us,UNUSED,-1
undertale-librarby2,UNUSED,-1
undertaleinteractive,UNUSED,-1
undertale-fanclub,UNUSED,-1
the-barrier,UNUSED,-1
undertale-for-all,UNUSED,-1
undertale-group,UNUSED,-1
undertale-fans,UNUSED,-1
undertaleunited,UNUSED,-1
undertalefandom,UNUSED,-1
wd-gaster,UNUSED,-1
undertaletrashgroup,UNUSED,-1
undertalefans,UNUSED,-1
fans-of-undertale,UNUSED,-1
undertale-fc,UNUSED,-1
undertale-club,UNUSED,-1
fan-art-of-undertale,UNUSED,-1
club-undertale,UNUSED,-1
anthro-hotel,UNUSED,-1
anthropomorphicfans,UNUSED,-1
furries-furever,UNUSED,-1
deviantanthro,UNUSED,-1
anthrosforever,UNUSED,-1
unnoticed-anthro-art,UNUSED,-1
furry-domination,UNUSED,-1
anthro-nexus,UNUSED,-1
anthro-mainia,UNUSED,-1
puranthro,UNUSED,-1
furclub,UNUSED,-1
anthro-mania,UNUSED,-1
furry--fury,UNUSED,-1
beauty-of-fur,UNUSED,-1
long-live-the-furry,UNUSED,-1
furries-and-anthros,UNUSED,-1
colorfurr,UNUSED,-1
furryformation,UNUSED,-1
anthromedia,UNUSED,-1
world-of-anthros,UNUSED,-1
anthronation,UNUSED,-1
fur-and-fire,UNUSED,-1
furry-anthro-lover,UNUSED,-1
friendlyfurs,UNUSED,-1
anthro-world,UNUSED,-1
anthrocreations,UNUSED,-1
furryclan,UNUSED,-1
anthrosunite,UNUSED,-1
friends-of-furriness,UNUSED,-1
furry-art,UNUSED,-1
all-anthro-lovers,UNUSED,-1
furry-pride,UNUSED,-1
furs-furever,UNUSED,-1
anthrolife,UNUSED,-1
ferals-and-anthros,UNUSED,-1
always-anthro-art,UNUSED,-1
dem-anthros,UNUSED,-1
everythingfurred,UNUSED,-1
furriesareawsome,UNUSED,-1
anthro-alliance,UNUSED,-1
anthro-glamour,UNUSED,-1
alternativeanthro,UNUSED,-1
everythinganthro,UNUSED,-1
all-things-anthro,UNUSED,-1
anything-anthro,UNUSED,-1
anthro-art-worldwide,UNUSED,-1
anthroarts21,UNUSED,-1
anthroevilscientists,UNUSED,-1
anthroparadise,UNUSED,-1
anthrohub,UNUSED,-1
feral-anthro-zealots,UNUSED,-1
alltheanthroart,UNUSED,-1
allanthroclub,UNUSED,-1
anthroforeveryone,UNUSED,-1
alt-anthro,UNUSED,-1
art-wolves-furries,UNUSED,-1
furry-central,UNUSED,-1
the-furry-art-cave,UNUSED,-1
furry-artists-unite,UNUSED,-1
furry--artists,UNUSED,-1
furry-artits-ftw,UNUSED,-1
zdragon-and-furry,UNUSED,-1
clubanthro,UNUSED,-1
anthro-freedom,UNUSED,-1
anthroluv,UNUSED,-1
art-all-anthro,UNUSED,-1
land-of-furries,UNUSED,-1
all-the-furs,UNUSED,-1
crazy-furries,UNUSED,-1
the-anthro-den,UNUSED,-1
emotive-anthros,UNUSED,-1
anthro-attack,UNUSED,-1
united-furry-club,UNUSED,-1
anthroandanimals,UNUSED,-1
anthrolegendsofearth,UNUSED,-1
anthro-furry-pack,UNUSED,-1
anthro-friends,UNUSED,-1
bestfurry,UNUSED,-1
furry-pikis,UNUSED,-1
xfurry-fightersx,UNUSED,-1
weareanthro,UNUSED,-1
anthrolicious,UNUSED,-1
anthrouniverse,UNUSED,-1
proudanthroartist,UNUSED,-1
the-anthro-group,UNUSED,-1
anthrocity,UNUSED,-1
teen-furries,UNUSED,-1
furrycentral,UNUSED,-1
furternityclub,UNUSED,-1
anthrosity,UNUSED,-1
anthro-inc,UNUSED,-1
furryfriendsgroup,UNUSED,-1
fuckyouimananthro,UNUSED,-1
furry-united,UNUSED,-1
furry-is-forever,UNUSED,-1
animal-art-community,UNUSED,-1
anthroclub,UNUSED,-1
all-anthro-artists,UNUSED,-1
anthro-junkies,UNUSED,-1
pokemonzloverz,UNUSED,-1
pokemon-artistz,UNUSED,-1
pokemonpals,UNUSED,-1
trainer-base,UNUSED,-1
pokemon-guild,UNUSED,-1
pokemon-legendz,UNUSED,-1
pokemon-canine-club,UNUSED,-1
poke-topia,UNUSED,-1
pokestarz,UNUSED,-1
legendary-pokemons,UNUSED,-1
pokemon-fans-unite,UNUSED,-1
catch-them-all,UNUSED,-1
poke-freaks,UNUSED,-1
fanclub-white,UNUSED,-1
pokemontraineroc,UNUSED,-1
pikachu-empire,UNUSED,-1
pikachu-camp,UNUSED,-1
adorablepokemon,UNUSED,-1
eevee-takeover,UNUSED,-1
pokemonultimate,UNUSED,-1
pokeluvers,UNUSED,-1
eeveelutionforlife,UNUSED,-1
pokemonland,UNUSED,-1
eeveelutions-9,UNUSED,-1
pokemon-art-work3379,UNUSED,-1
pokemonbw-2,UNUSED,-1
pokemon-x-and-y-fans,UNUSED,-1
the-love-of-pokemon,UNUSED,-1
pokemon--x-y-andco,UNUSED,-1
thepokeartists,UNUSED,-1
eevee-garden,UNUSED,-1
unhuman-ocs,UNUSED,-1
the-pokemon-masters,UNUSED,-1
the-pokemon-united,UNUSED,-1
pokemon-are-awesome,UNUSED,-1
poke-request-love,UNUSED,-1
alliance-of-pokemon,UNUSED,-1
all-pokemon-art,UNUSED,-1
pokemon-honor,UNUSED,-1
pokesona-corner,UNUSED,-1
lovetheeevees,UNUSED,-1
legends-of-pokemon,UNUSED,-1
clubeevee,UNUSED,-1
theeeveefans,UNUSED,-1
poke-land,UNUSED,-1
eevee-fans-foreverz,UNUSED,-1
pokemon-oc-adventure,UNUSED,-1
eevee-tards,UNUSED,-1
pokeheroes,UNUSED,-1
pokemon-freelancers,UNUSED,-1
eeveelution-fandom,UNUSED,-1
eeveeofficialgroup,UNUSED,-1
globaldex,UNUSED,-1
poke-fans-unite,UNUSED,-1
cute-cafe,UNUSED,-1
creatureocs,UNUSED,-1
the-world-of-pokemon,UNUSED,-1
cutestuffplace,UNUSED,-1
theeeveelurvers,UNUSED,-1
eeveelutionrevolutn,UNUSED,-1
pokesona,UNUSED,-1
pokemon-chibiclub,UNUSED,-1
oc---club,UNUSED,-1
disney-pokemon-club,UNUSED,-1
pokesona,UNUSED,-1
cuteanimeanimals,UNUSED,-1
eeveelutions-club,UNUSED,-1
eeveelution-fan-club,UNUSED,-1
eeveefanclub,UNUSED,-1
poke-passion,UNUSED,-1
poke-poke-fans,UNUSED,-1
ultimatepokemonfans,UNUSED,-1
pokemon-x-y,UNUSED,-1
pokefans-and-more,UNUSED,-1
poketopia,UNUSED,-1
pokemonfanatica,UNUSED,-1
pokemonroot,UNUSED,-1
weloveallpokemon,UNUSED,-1
pokemon-for-everyone,UNUSED,-1
pokemon4eternity,UNUSED,-1
pokemon-journey,UNUSED,-1
pokemontoday,UNUSED,-1
pokemon-fanz,UNUSED,-1
welovepokemon,UNUSED,-1
the-pokemon-fanclub,UNUSED,-1
poke-gen-6,UNUSED,-1
generationvi,UNUSED,-1
poke-geeks,UNUSED,-1
pokemoncorner,UNUSED,-1
pokewalkers,UNUSED,-1
pokemon-r-us,UNUSED,-1
kanto-pokemon-group,UNUSED,-1
its-a-pokemon-world,UNUSED,-1
pokemon-power-rawr,UNUSED,-1
pokemonfans4ever,UNUSED,-1
national-pokedex,UNUSED,-1
pokemon-fans-force,UNUSED,-1
pokemoncentre,UNUSED,-1
my-fair-pokemon,UNUSED,-1
pokemoncreativity,UNUSED,-1
pokemonkantojohto,UNUSED,-1
pokemonfreaks,UNUSED,-1
everythingpokemonart,UNUSED,-1
all-pokemon-stuff,UNUSED,-1
pokemon-paintings,UNUSED,-1
the-eevee-kingdom,UNUSED,-1
pkmn-fans-unite,UNUSED,-1
generation-pokemon,UNUSED,-1
eeveeclubforfans,UNUSED,-1
pokemon-fan--club,UNUSED,-1
pokenerds-united,UNUSED,-1
poke-lovers,UNUSED,-1
pokemondungeon,UNUSED,-1
pokemon-fans-group,UNUSED,-1
worldofpokemon,UNUSED,-1
pokemon-black-white,UNUSED,-1
pokepark-wonders,UNUSED,-1
pokesation,UNUSED,-1
hoenn-island,UNUSED,-1
pokemonplanet,UNUSED,-1
your-pokemon,UNUSED,-1
we-like-pokemon,UNUSED,-1
pokemon-domain,UNUSED,-1
pokemonwrestlingfans,UNUSED,-1
pokefanatics,UNUSED,-1
the-poke-animeclub,UNUSED,-1
pokemon-forever,UNUSED,-1
pokemonfanclub1,UNUSED,-1
poke-fanclub,UNUSED,-1
pokemon-all-around,UNUSED,-1
pokemonhereforever,UNUSED,-1
poke-group,UNUSED,-1
pokemon-fan-universe,UNUSED,-1
pokemon-fans4ever,UNUSED,-1
pokemonforeveryone,UNUSED,-1
pokemonfans,UNUSED,-1
pokemonmasters,UNUSED,-1
draw-em-all,UNUSED,-1
pokemon-fanbase,UNUSED,-1
pokemon-lovers4life,UNUSED,-1
pokemoninstitution,UNUSED,-1
pokemon-world-unite,UNUSED,-1
pokemonaddicts,UNUSED,-1
pokemonnowandforever,UNUSED,-1
hq,UNUSED,-1
give-llamageta-llama,UNUSED,-1
contest-hq,UNUSED,-1
clubforcontests,UNUSED,-1
weekly-contest-group,UNUSED,-1
anothercontestgroup,UNUSED,-1
giveallamagetallama,UNUSED,-1
unknownwriters,ASK,-2
flawedliterature,ASK,-2
thethoughtofthemind,Featured,34635614
iwritetoinspire,ASK,-2
writers4life,ASK,-2
written-from-within,ASK,-2
storiesandpoemsclub,ASK,-2
live-learn-write,ASK,-2
openlit,ASK,-2
the-talented-writers,UNUSED,-1
literaturehideout,ASK,-2
writerslibrary,ASK,-2
writing-is-beautiful,ASK,-2
love-the-literature,ASK,-2
authors-universe,ASK,-2
thewritersroom,ASK,-2
passionforliterature,ASK,-2
literature-writing,ASK,-2
literature-series,ASK,-2
power-of-language,ASK,-2
the-joy-of-writing,ASK,-2
literature4ever,ASK,-2
painted-from-words,ASK,-2
pentopage,ASK,-2
youngwritersunite,ASK,-2
read-dream-write,ASK,-2
writingforeveryone,ASK,-2
writingcentral,ASK,-2
original-scribbles,ASK,-2
write4ursoul,ASK,-2
writingwarehouse,ASK,-2
united-artist-writer,ASK,-2
write-now,ASK,-2
writing-the-future,ASK,-2
writing-freedom,ASK,-2
writerstogether,ASK,-2
create-write-live,ASK,-2
nolimitwriting,ASK,-2
positivewriting,ASK,-2
the-love-of-writing,ASK,-2
wordsinourveins,ASK,-2
writingpros,ASK,-2
write-until-you-die,ASK,-2
words-of-war,ASK,-2
literary-expressions,ASK,-2
writers-pack,ASK,-2
lovers-in-lit,ASK,-2
just-write-it,ASK,-2
the-writing-exchange,ASK,-2
thestoryliveson,ASK,-2
wordflight,ASK,-2
writefromtheheart,ASK,-2
globalwriters,ASK,-2
writing-obsession,ASK,-2
emotionscollide,ASK,-2
words-to-the-world,ASK,-2
story-tellers,ASK,-2
artist-revolution,ASK,-2
the-write-group,ASK,-2
word-wit,ASK,-2
artist-exposure,ASK,-2
independent-writer,ASK,-2
escape-of-a-writer,ASK,-2
thewritersmeow,ASK,-2
